CERT,NAME,REPDTE,BKCLASS,INSDIF,ASSET,CHBAL,SC,LNLSNET,DEP,FREPP,OTHBRF,SUBND,LIAB,EQTOT,EQ,OA,ALLOTHL,BORROWED_FUNDS_CALC,OTHER_ASSETS_CALC,OTHER_LIABILITIES_CALC,BALANCE_DIFFERENCE_CALC
20488,FIVE POINTS BANK,20251231,SM,1,2149132,213960,562446,1276632,1961539,23205,0,0,1994401,154731,154731,73955,9657,23205,96094,9657,0
20504,AMERIS BANK,20251231,NM,1,27432143,1088919,2409415,21788533,22459772,0,558039,0,23361974,4070169,4070169,758992,336564,558039,2145276,344163,0
20537,AMERICAN BANK&TRUST CO,20251231,NM,1,323126,17186,91492,196650,269369,0,3825,0,274515,48611,48611,3770,1321,3825,17798,1321,0
20568,LUMBEE GUARANTY BANK,20251231,NM,1,561380,32046,267300,228738,496359,0,10000,0,509695,51685,51685,22501,3336,10000,33296,3336,0
20624,BYLINE BANK,20251231,NM,1,9630743,149095,1415766,7414156,7687930,79598,340000,0,8276573,1354170,1354170,346257,155476,419598,651726,169045,0
20657,FIRST SECURITY BK DEER LODGE,20251231,NM,1,88099,16742,0,70648,79604,0,0,0,79794,8305,8305,669,190,0,709,190,0
20698,SOUTHERN HERITAGE BANK,20251231,NM,1,403664,12560,99803,276491,362565,1103,0,0,366280,37384,37384,3936,2612,1103,14810,2612,0
20720,TENNESSEE STATE BANK,20251231,SM,1,981988,48997,181645,704832,875292,12922,0,0,897942,84046,84046,27550,9728,12922,46514,9728,0
20727,DALLAS CAPITAL BANK NA,20251231,N,1,1130082,54005,172788,849831,950530,30412,84,0,991407,138675,138675,40926,10381,30496,53458,10381,0
20741,PIONEER BANK NATIONAL ASSN,20251231,N,1,2150738,130875,261952,1646255,1783489,0,60673,0,1871957,278781,278781,59958,20448,60673,111656,27795,0
20776,BORDER BANK,20251231,NM,1,1063075,16010,104175,890034,912844,0,45500,0,970125,92950,92950,34207,11781,45500,52856,11781,0
20818,CITIZENS TRI-COUNTY BANK,20251231,NM,1,1594707,246026,183728,1059808,1446383,0,0,0,1460614,134093,134093,32946,14231,0,105145,14231,0
20845,WALLIS BANK,20251231,NM,1,1392348,203234,17720,1076096,1215113,0,30017,0,1257870,134478,134478,25602,12740,30017,95298,12740,0
20856,LIBERTY BANK&TRUST CO,20251231,NM,1,1105310,65695,321669,614758,957063,0,10000,0,982955,122355,122355,49402,15892,10000,103188,15892,0
20872,CITIZENS GUARANTY BANK,20251231,NM,1,299764,10506,8561,269520,260221,0,11500,0,274723,25041,25041,5492,3002,11500,11177,3002,0
20884,BANK OF GUAM,20251231,NM,1,3013931,424758,735923,1697737,2739797,0,0,0,2790279,223652,223652,110949,50482,0,155513,50482,0
20954,CITIZENS NATIONAL BANK,20251231,N,1,1964949,199438,413602,1284240,1748797,0,0,0,1776385,188564,188564,40855,27346,0,67669,27588,0
20989,INDEPENDENCE BANK,20251231,NM,1,1344534,37004,237449,1021100,1165620,467,12333,0,1183225,161309,161309,29626,4805,12800,48981,4805,0
20993,HARDIN COUNTY BANK,20251231,SM,1,653856,40839,61552,511989,582757,0,0,0,593941,59915,59915,21772,11184,0,39476,11184,0
